Model_Year,Make,Model,Vehicle_Class,Engine_Size,Cylinders,Transmission,Fuel_Consumption_in_City(L/100 km),Fuel_Consumption_in_City_Hwy(L/100 km),Fuel_Consumption_comb(L/100km),CO2_Emissions,Smog_Level
2021,Audi,SQ8 quattro,SUV: Standard,4,8,AS8,16,11.4,13.9,324,3
2021,Audi,TT Coupe 45 TFSI quattro,Subcompact,2,4,AM7,10.4,7.8,9.2,216,7
2021,Audi,TT Roadster 45 TFSI quattro,Two-seater,2,4,AM7,10.4,7.8,9.2,216,7
2021,Audi,TT RS Coupe quattro,Subcompact,2.5,5,AM7,11.6,8,10,232,3
2021,Audi,TTS Coupe quattro,Subcompact,2,4,AM7,10.4,8.2,9.4,220,3
2021,Bentley,Bentayga,SUV: Standard,4,8,AS8,15.8,9.9,13.2,309,3
2021,Bentley,Bentayga,SUV: Standard,6,12,AS8,19,13,16.3,383,3
2021,Bentley,Continental GT,Subcompact,4,8,AM8,15,9,12.3,290,3
2021,Bentley,Continental GT,Subcompact,6,12,AM8,19,11.6,15.7,364,3
2021,Bentley,Continental GT Convertible,Minicompact,4,8,AM8,15,9,12.3,290,3
2021,Bentley,Continental GT Convertible,Minicompact,6,12,AM8,19.2,12.2,16,373,3
2021,Bentley,Flying Spur,Mid-size,4,8,AM8,15.5,11.6,13.7,323,3
2021,Bentley,Flying Spur,Mid-size,6,12,AM8,19.2,12.2,16,373,3
2021,BMW,228i xDrive Gran Coupe,Compact,2,4,AS8,10.2,7.2,8.8,206,7
2021,BMW,230i xDrive Cabriolet,Subcompact,2,4,AS8,11.2,7.7,9.6,225,7
2021,BMW,230i xDrive Coupe,Subcompact,2,4,AS8,11.2,7.7,9.6,225,7
2021,BMW,330i xDrive Sedan,Compact,2,4,AS8,9.5,6.9,8.3,195,7
2021,BMW,430i xDrive Coupe,Subcompact,2,4,AS8,10,7.1,8.7,202,7
2021,BMW,530i xDrive Sedan,Mid-size,2,4,AS8,10.1,7.5,8.9,206,7
2021,BMW,540i xDrive Sedan,Full-size,3,6,AS8,10.3,7.6,9.1,211,5
2021,BMW,750i xDrive Sedan,Full-size,4.4,8,AS8,14,9.7,12,281,3
2021,BMW,750Li xDrive Sedan,Full-size,4.4,8,AS8,14,9.7,12,281,3
2021,BMW,Alpina B7 xDrive,Full-size,4.4,8,AS8,14,9.7,12,281,3
2021,BMW,Alpina XB7,SUV: Standard,4.4,8,AS8,15.7,11.5,13.8,321,3
2021,BMW,M2 Competition,Subcompact,3,6,AM7,14.3,10.4,12.6,293,3
2021,BMW,M2 Competition,Subcompact,3,6,M6,13.4,9.6,11.7,273,3
2021,BMW,M235i xDrive Gran Coupe,Compact,2,4,AS8,10.4,7.7,9.2,213,7
2021,BMW,M240i xDrive Cabriolet,Subcompact,3,6,AS8,11.3,7.9,9.8,228,3
2021,BMW,M240i xDrive Coupe,Subcompact,3,6,AS8,11.3,7.9,9.8,228,3
2021,BMW,M340i xDrive Sedan,Compact,3,6,AS8,10.5,7.7,9.2,214,5
2021,BMW,M440i xDrive Coupe,Subcompact,3,6,AS8,10.5,7.7,9.2,214,5
2021,BMW,M5 Sedan,Mid-size,4.4,8,AS8,16,11,13.8,323,3
2021,BMW,M5 Competition,Mid-size,4.4,8,AS8,16,11,13.8,323,3
2021,BMW,M550i xDrive Sedan,Mid-size,4.4,8,AS8,13.5,9.5,11.7,272,3
2021,BMW,M760i xDrive Sedan,Full-size,6.6,12,AS8,17.8,11.9,15.1,354,3
2021,BMW,M8 Cabriolet,Subcompact,4.4,8,AS8,16,11,13.8,323,3
2021,BMW,M8 Cabriolet Competition,Subcompact,4.4,8,AS8,16,11,13.8,323,3
2021,BMW,M8 Coupe,Subcompact,4.4,8,AS8,16,11,13.8,323,3
2021,BMW,M8 Coupe Competition,Subcompact,4.4,8,AS8,16,11,13.8,323,3
2021,BMW,M8 Gran Coupe,Mid-size,4.4,8,AS8,16,11,13.8,323,3
2021,BMW,M8 Gran Coupe Competition,Mid-size,4.4,8,AS8,16,11,13.8,323,3
2021,BMW,M850i xDrive Cabriolet,Subcompact,4.4,8,AS8,14,9.7,12,281,3
2021,BMW,M850i xDrive Coupe,Subcompact,4.4,8,AS8,13.5,9.5,11.7,272,3
2021,BMW,M850i xDrive Gran Coupe,Mid-size,4.4,8,AS8,14,9.7,12,281,3
2021,BMW,X1 xDrive28i,SUV: Small,2,4,AS8,10.3,7.7,9.1,213,7
2021,BMW,X2 xDrive28i,SUV: Small,2,4,AS8,9.8,7.5,8.8,205,7
2021,BMW,X2 M35i,SUV: Small,2,4,AS8,10,7.7,8.9,209,7
2021,BMW,X3 xDrive30i,SUV: Small,2,4,AS8,10.2,8.2,9.3,217,7
2021,BMW,X3 M,SUV: Small,3,6,AS8,16.6,12.1,14.6,339,3
2021,BMW,X3 M Competition,SUV: Small,3,6,AS8,16.6,12.1,14.6,339,3
2021,BMW,X3 M40i,SUV: Small,3,6,AS8,11.3,8.7,10.1,235,5
2021,BMW,X4 xDrive30i,SUV: Small,2,4,AS8,10.2,8.2,9.3,217,7
2021,BMW,X4 M,SUV: Small,3,6,AS8,16.6,12.1,14.6,339,3
2021,BMW,X4 M Competition,SUV: Small,3,6,AS8,16.6,12.1,14.6,339,3
2021,BMW,X4 M40i,SUV: Small,3,6,AS8,11.3,8.7,10.1,235,5
2021,BMW,X5 xDrive40i,SUV: Standard,3,6,AS8,11.4,9.2,10.4,242,3
2021,BMW,X5 M,SUV: Standard,4.4,8,AS8,17.9,13,15.7,364,3
2021,BMW,X5 M Competition,SUV: Standard,4.4,8,AS8,17.9,13,15.7,364,3
2021,BMW,X5 M50i,SUV: Standard,4.4,8,AS8,14.4,10.6,12.7,302,3
2021,BMW,X6 xDrive40i,SUV: Standard,3,6,AS8,11.4,9.2,10.4,242,3
2021,BMW,X6 M,SUV: Standard,4.4,8,AS8,17.9,13,15.7,364,3
2021,BMW,X6 M Competition,SUV: Standard,4.4,8,AS8,17.9,13,15.7,364,3
2021,BMW,X6 M50i,SUV: Standard,4.4,8,AS8,14.4,10.6,12.7,302,3
2021,BMW,X7 xDrive40i,SUV: Standard,3,6,AS8,12.1,9.8,11.1,256,3
2021,BMW,X7 M50i,SUV: Standard,4.4,8,AS8,15.7,11.5,13.8,321,3
2021,BMW,Z4 sDrive30i,Two-seater,2,4,AS8,9.4,7.3,8.4,197,7
2021,BMW,Z4 M40i,Two-seater,3,6,AS8,10.7,8,9.5,221,5
2021,Bugatti,Chiron,Two-seater,8,16,AM7,26.8,16.6,22.2,522,1
2021,Bugatti,Chiron Pur Sport,Two-seater,8,16,AM7,30.3,20.9,26.1,608,1
2021,Buick,Enclave,SUV: Standard,3.6,6,A9,13,9.1,11.2,264,6
2021,Buick,Enclave AWD,SUV: Standard,3.6,6,A9,13.6,9.6,11.8,277,6
2021,Buick,Encore,SUV: Small,1.4,4,AS6,9.4,7.8,8.7,204,5
2021,Buick,Encore (SIDI),SUV: Small,1.4,4,AS6,9.7,7.3,8.6,203,7
2021,Buick,Encore AWD,SUV: Small,1.4,4,AS6,10,8,9.1,214,5
2021,Buick,Encore AWD (SIDI),SUV: Small,1.4,4,AS6,10.2,7.7,9.1,214,7
2021,Buick,Encore GX,SUV: Small,1.2,3,AV,8.4,7.5,8,188,7
2021,Buick,Envision,SUV: Small,2,4,AS9,10,7.6,8.9,209,7
2021,Buick,Envision AWD,SUV: Small,2,4,AS9,10.5,8.2,9.5,222,7
2021,Cadillac,CT4,Compact,2,4,AS8,10.1,6.8,8.7,203,6
2021,Cadillac,CT4,Compact,2.7,4,AS10,11,7.6,9.5,221,6
2021,Cadillac,CT4 AWD,Compact,2,4,AS8,10.4,7.4,9.1,213,6
2021,Cadillac,CT4 AWD,Compact,2.7,4,AS10,11.4,8.2,9.9,232,6
2021,Cadillac,CT4-V,Compact,2.7,4,AS10,11.5,8.2,10,234,6
2021,Cadillac,CT4-V AWD,Compact,2.7,4,AS10,11.7,8.4,10.2,239,6
2021,Cadillac,CT5,Mid-size,2,4,AS10,10.4,7.3,9,209,6
2021,Cadillac,CT5,Mid-size,3,6,AS10,12.3,8.5,10.6,249,5
2021,Cadillac,CT5 AWD,Mid-size,2,4,AS10,11,7.7,9.5,242,6
2021,Cadillac,CT5 AWD,Mid-size,3,6,AS10,12.7,9.1,11.1,260,5
2021,Cadillac,CT5-V,Mid-size,3,6,AS10,12.7,8.7,10.9,256,5
2021,Cadillac,CT5-V AWD,Mid-size,3,6,AS10,12.7,9.1,11.1,260,5
2021,Cadillac,Escalade 4WD,SUV: Standard,3,6,A10,12,8.9,10.6,277,3
2021,Cadillac,Escalade 4WD,SUV: Standard,6.2,8,A10,16.8,12.4,14.8,347,3
2021,Cadillac,Escalade 4WD (Without Stop-Start),SUV: Standard,6.2,8,A10,17.5,12.6,15.3,357,3
2021,Cadillac,XT4,SUV: Small,2,4,AS9,9.9,7.8,8.9,209,7
2021,Cadillac,XT4 AWD,SUV: Small,2,4,AS9,10.9,8.2,9.7,227,7
2021,Cadillac,XT5,SUV: Small,2,4,AS9,10.7,8,9.5,222,7
2021,Cadillac,XT5 AWD,SUV: Small,2,4,AS9,11.2,8.7,10.1,237,7
2021,Cadillac,XT5 AWD,SUV: Small,3.6,6,AS9,12.9,9.2,11.2,263,6
2021,Cadillac,XT6 AWD,SUV: Small,2,4,AS9,11.2,9,10.2,239,7
2021,Cadillac,XT6 AWD,SUV: Small,3.6,6,AS9,13.1,9.5,11.5,269,6
2021,Chevrolet,Blazer,SUV: Small,2,4,A9,10.6,8,9.4,221,7
2021,Chevrolet,Blazer,SUV: Small,2.5,4,A9,11.3,8.9,10.2,238,5
2021,Chevrolet,Blazer,SUV: Small,3.6,6,A9,12,8.7,10.5,247,6
2021,Chevrolet,Blazer AWD,SUV: Small,2,4,A9,10.6,8.7,9.7,227,7
2021,Chevrolet,Blazer AWD,SUV: Small,3.6,6,A9,12.5,9,10.9,256,6
2021,Chevrolet,Camaro,Subcompact,2,4,AS8,10.9,7.8,9.5,222,5
2021,Chevrolet,Camaro,Subcompact,2,4,M6,12.6,8,10.5,247,5
2021,Chevrolet,Camaro,Subcompact,3.6,6,AS10,12.8,8.1,10.7,251,6
2021,Chevrolet,Camaro,Subcompact,3.6,6,M6,14.4,9,12,281,6
2021,Chevrolet,Camaro SS,Subcompact,6.2,8,AS10,14.6,8.9,12,281,1
2021,Chevrolet,Camaro SS,Subcompact,6.2,8,M6,14.9,9.9,12.6,296,1
2021,Chevrolet,Camaro ZL1,Subcompact,6.2,8,AS10,18.3,11.2,15.1,355,1
2021,Chevrolet,Camaro ZL1,Subcompact,6.2,8,M6,17.2,12,14.8,349,1
2021,Chevrolet,Colorado,Pickup truck: Small,2.5,4,A6,12.2,9.4,10.9,257,6
2021,Chevrolet,Colorado,Pickup truck: Small,2.8,4,A6,11.8,7.9,10.1,294,3
2021,Chevrolet,Colorado,Pickup truck: Small,3.6,6,A8,12.9,9.3,11.3,263,6
2021,Chevrolet,Colorado 4WD,Pickup truck: Small,2.5,4,A6,12.7,9.9,11.4,268,6
2021,Chevrolet,Colorado 4WD,Pickup truck: Small,2.8,4,A6,12.2,8.4,10.5,294,3
2021,Chevrolet,Colorado 4WD,Pickup truck: Small,3.6,6,A8,14,9.9,12.1,284,6
2021,Chevrolet,Colorado ZR2 4WD,Pickup truck: Small,2.8,4,A6,13.3,10.6,12.1,326,3
2021,Chevrolet,Colorado ZR2 4WD,Pickup truck: Small,3.6,6,A8,15,13,14.1,329,6
2021,Chevrolet,Corvette,Two-seater,6.2,8,AS8,15.4,8.7,12.4,290,3
2021,Chevrolet,Equinox,SUV: Small,1.5,4,A6,8.9,7.7,8.4,198,7
2021,Chevrolet,Equinox AWD,SUV: Small,1.5,4,A6,9.4,8,8.8,207,7
2021,Chevrolet,Malibu,Mid-size,1.5,4,AV,8.2,6.6,7.5,175,7
2021,Chevrolet,Malibu,Mid-size,2,4,A9,10.7,7.1,9.1,213,5
2021,Chevrolet,Silverado,Pickup truck: Standard,2.7,4,A8,11.9,10.3,11.2,263,6
2021,Chevrolet,Silverado Custom/WT,Pickup truck: Standard,2.7,4,A8,11.9,10.3,11.2,263,6
2021,Chevrolet,Silverado,Pickup truck: Standard,3,6,A10,10.2,7.2,8.8,238,3
2021,Chevrolet,Silverado,Pickup truck: Standard,4.3,6,A6,15.1,11.5,13.5,318,6
2021,Chevrolet,Silverado,Pickup truck: Standard,5.3,8,A6,15.8,11.4,13.8,325,5
2021,Chevrolet,Silverado (Without AFM),Pickup truck: Standard,5.3,8,A6,16.7,11.4,14.3,336,5
2021,Chevrolet,Silverado FFV,Pickup truck: Standard,5.3,8,A6,16.2,12.3,14.5,340,3
2021,Chevrolet,Silverado FFV,Pickup truck: Standard,5.3,8,A6,21.5,16,19,315,3
2021,Chevrolet,Silverado,Pickup truck: Standard,5.3,8,A8,13.9,10.1,12.2,286,5
2021,Chevrolet,Silverado (Without DFM),Pickup truck: Standard,5.3,8,A8,15.9,10.8,13.6,319,5
2021,Chevrolet,Silverado 4WD,Pickup truck: Standard,2.7,4,A8,12.5,10.8,11.7,275,6
2021,Chevrolet,Silverado 4WD Custom/WT,Pickup truck: Standard,2.7,4,A8,12.5,10.8,11.7,275,6
2021,Chevrolet,Silverado 4WD,Pickup truck: Standard,3,6,A10,10.6,9.2,10,268,3
2021,Chevrolet,Silverado 4WD,Pickup truck: Standard,4.3,6,A6,15.8,11.9,14,329,6
2021,Chevrolet,Silverado 4WD Trail Boss,Pickup truck: Standard,4.3,6,A6,16.3,13,14.8,347,6
2021,Chevrolet,Silverado 4WD,Pickup truck: Standard,5.3,8,A6,16,11.8,14.1,331,5
2021,Chevrolet,Silverado 4WD (Without AFM),Pickup truck: Standard,5.3,8,A6,17.3,11.8,14.8,348,5
2021,Chevrolet,Silverado 4WD FFV,Pickup truck: Standard,5.3,8,A6,16.5,12.8,14.8,347,3
2021,Chevrolet,Silverado 4WD FFV,Pickup truck: Standard,5.3,8,A6,22,16.4,19.5,326,3
2021,Chevrolet,Silverado 4WD Trail Boss,Pickup truck: Standard,5.3,8,A6,16.5,13.1,15,350,5
2021,Chevrolet,Silverado 4WD Trail Boss (Without AFM),Pickup truck: Standard,5.3,8,A6,17.8,13.2,15.7,368,5
2021,Chevrolet,Silverado 4WD,Pickup truck: Standard,5.3,8,A8,14.4,10.6,12.7,299,5
2021,Chevrolet,Silverado 4WD (Without DFM),Pickup truck: Standard,5.3,8,A8,16.8,11.4,14.4,339,5
2021,Chevrolet,Silverado 4WD,Pickup truck: Standard,5.3,8,A10,14.3,10.7,12.7,298,5
2021,Chevrolet,Silverado 4WD (Without Stop-Start),Pickup truck: Standard,5.3,8,A10,15.3,11,13.3,313,5
2021,Chevrolet,Silverado 4WD Trail Boss,Pickup truck: Standard,5.3,8,A10,14.7,11.2,13.1,307,5
2021,Chevrolet,Silverado 4WD Trail Boss (Without Stop-Start),Pickup truck: Standard,5.3,8,A10,15.6,11.4,13.7,321,5
2021,Chevrolet,Silverado 4WD,Pickup truck: Standard,6.2,8,A10,14.7,11,13.1,306,3
2021,Chevrolet,Silverado 4WD (Without Stop-Start),Pickup truck: Standard,6.2,8,A10,15.6,11.6,13.8,324,3
2021,Chevrolet,Silverado 4WD Trail Boss,Pickup truck: Standard,6.2,8,A10,15.7,12.4,14.2,332,3
2021,Chevrolet,Silverado 4WD Trail Boss (Without Stop-Start),Pickup truck: Standard,6.2,8,A10,16.8,12.7,15,352,3
2021,Chevrolet,Spark,Subcompact,1.4,4,AV,7.7,6.2,7,165,5
2021,Chevrolet,Spark,Subcompact,1.4,4,M5,8,6.2,7.2,170,5
2021,Chevrolet,Suburban,SUV: Standard,3,6,A10,11.3,8.6,10.1,272,3
2021,Chevrolet,Suburban,SUV: Standard,5.3,8,A10,14.3,11.8,13.2,309,5
2021,Chevrolet,Suburban (Without Stop-Start),SUV: Standard,5.3,8,A10,15.3,12,13.8,325,5
2021,Chevrolet,Suburban 4WD,SUV: Standard,3,6,A10,12,8.9,10.6,277,3
2021,Chevrolet,Suburban 4WD,SUV: Standard,5.3,8,A10,15.3,12.4,14,328,5
2021,Chevrolet,Suburban 4WD (Without Stop-Start),SUV: Standard,5.3,8,A10,16,12.6,14.5,341,5
2021,Chevrolet,Suburban 4WD,SUV: Standard,6.2,8,A10,16.8,12.4,14.8,347,3
2021,Chevrolet,Suburban 4WD (Without Stop-Start),SUV: Standard,6.2,8,A10,17.5,12.6,15.3,357,3
2021,Chevrolet,Tahoe,SUV: Standard,3,6,A10,11,8.4,9.8,263,3
2021,Chevrolet,Tahoe,SUV: Standard,5.3,8,A10,14.3,11.8,13.2,309,5
2021,Chevrolet,Tahoe (Without Stop-Start),SUV: Standard,5.3,8,A10,15.3,12,13.8,325,5
2021,Chevrolet,Tahoe 4WD,SUV: Standard,3,6,A10,12,8.9,10.6,277,3
2021,Chevrolet,Tahoe 4WD,SUV: Standard,5.3,8,A10,14.8,11.8,13.5,317,5
2021,Chevrolet,Tahoe 4WD (Without Stop-Start),SUV: Standard,5.3,8,A10,15.5,12,13.9,327,5
2021,Chevrolet,Tahoe 4WD,SUV: Standard,6.2,8,A10,16.8,12.4,14.8,347,3
2021,Chevrolet,Tahoe 4WD (Without Stop-Start),SUV: Standard,6.2,8,A10,17.5,12.6,15.3,357,3
2021,Chevrolet,Trailblazer,SUV: Small,1.2,3,AV,8.4,7.5,8,188,7
2021,Chevrolet,Trailblazer,SUV: Small,1.3,3,AV,8,7.2,7.6,179,7
2021,Chevrolet,Trailblazer AWD,SUV: Small,1.3,3,A9,8.9,7.8,8.4,196,7
2021,Chevrolet,Traverse,SUV: Standard,3.6,6,A9,13,8.8,11.1,261,6
2021,Chevrolet,Traverse AWD,SUV: Standard,3.6,6,A9,13.6,9.6,11.8,277,6
2021,Chevrolet,Trax,SUV: Small,1.4,4,AS6,9.1,7.6,8.4,196,5
2021,Chevrolet,Trax (SIDI),SUV: Small,1.4,4,AS6,9.7,7.3,8.6,203,7
2021,Chevrolet,Trax 4WD,SUV: Small,1.4,4,AS6,10,8,9.1,214,5
2021,Chevrolet,Trax 4WD (SIDI),SUV: Small,1.4,4,AS6,10.2,7.7,9.1,214,7
2021,Chrysler,300,Full-size,3.6,6,A8,12.4,7.8,10.3,242,3
2021,Chrysler,300,Full-size,5.7,8,A8,14.7,9.4,12.3,289,3
2021,Chrysler,300 AWD,Full-size,3.6,6,A8,12.8,8.7,11,258,3
2021,Chrysler,Grand Caravan,Minivan,3.6,6,A9,12.4,8.4,10.6,249,7
2021,Chrysler,Pacifica,Minivan,3.6,6,A9,12.4,8.4,10.6,249,7
2021,Chrysler,Pacifica AWD,Minivan,3.6,6,A9,14.1,9.4,12,279,7
2021,Dodge,Challenger,Mid-size,3.6,6,A8,12.4,7.8,10.3,242,3
2021,Dodge,Challenger (MDS),Mid-size,5.7,8,A8,14.7,9.4,12.3,289,3
2021,Dodge,Challenger,Mid-size,5.7,8,M6,15.6,10.1,13.1,307,1
2021,Dodge,Challenger (MDS),Mid-size,6.4,8,A8,15.9,9.6,13.1,306,1
2021,Dodge,Challenger,Mid-size,6.4,8,M6,16.7,10.4,13.9,325,1
2021,Dodge,Challenger AWD,Mid-size,3.6,6,A8,12.8,8.7,11,258,3
2021,Dodge,Challenger Widebody (MDS),Mid-size,6.4,8,A8,15.9,9.6,13.1,306,1
2021,Dodge,Challenger Widebody,Mid-size,6.4,8,M6,16.7,10.4,13.9,325,1
2021,Dodge,Challenger SRT Hellcat,Mid-size,6.2,8,A8,17.6,10.7,14.5,339,1
2021,Dodge,Challenger SRT Hellcat,Mid-size,6.2,8,M6,18.1,11.4,15.1,352,1
2021,Dodge,Challenger SRT Hellcat Widebody,Mid-size,6.2,8,A8,18.6,11.3,15.3,359,1
2021,Dodge,Challenger SRT Hellcat Widebody,Mid-size,6.2,8,M6,18.1,11.4,15.1,352,1
2021,Dodge,Charger,Full-size,3.6,6,A8,12.4,7.8,10.3,242,3
2021,Dodge,Charger (MDS),Full-size,5.7,8,A8,14.7,9.4,12.3,289,3
2021,Dodge,Charger (MDS),Full-size,6.4,8,A8,15.9,9.6,13.1,306,1
2021,Dodge,Charger AWD,Full-size,3.6,6,A8,12.8,8.7,11,258,3
2021,Dodge,Charger Widebody (MDS),Full-size,6.4,8,A8,15.9,9.6,13.1,306,1
2021,Dodge,Charger SRT Hellcat Widebody,Full-size,6.2,8,A8,19,11.5,15.6,368,1
2021,Dodge,Durango AWD,SUV: Standard,3.6,6,A8,12.7,9.6,11.3,265,7
2021,Dodge,Durango AWD,SUV: Standard,5.7,8,A8,16.7,10.9,14.1,331,5
2021,Dodge,Durango AWD SRT,SUV: Standard,6.4,8,A8,18.3,12.2,15.6,363,1
2021,Dodge,Durango AWD SRT Hellcat,SUV: Standard,6.2,8,A8,20.5,13.8,17.4,410,1
2021,FIAT,500X AWD,SUV: Small,1.3,4,A9,10,7.9,9.1,221,6
2021,Ford,Bronco 4WD,SUV: Small,2.3,4,AS10,11.7,10.7,11.2,264,5
2021,Ford,Bronco 4WD,SUV: Small,2.3,4,M7,11.6,10.9,11.3,265,5
2021,Ford,Bronco 4WD,SUV: Small,2.7,6,AS10,12.8,11.6,12.2,287,6
2021,Ford,Bronco Badlands 4WD,SUV: Small,2.3,4,AS10,13.5,13.7,13.6,318,5
2021,Ford,Bronco Badlands 4WD,SUV: Small,2.3,4,M7,14.7,13.3,14.1,330,5
2021,Ford,Bronco Badlands 4WD,SUV: Small,2.7,6,AS10,13.7,13.1,13.4,315,6
2021,Ford,Bronco Black Diamond 4WD,SUV: Small,2.3,4,AS10,13.1,13.1,13.1,308,5
2021,Ford,Bronco Black Diamond 4WD,SUV: Small,2.3,4,M7,13.8,12.4,13.2,310,5
2021,Ford,Bronco Sasquatch 4WD,SUV: Small,2.3,4,AS10,13.1,13.1,13.1,308,5
